Data from ad5_Relative__0__20.txt Node

Date: Mon Jun 23 14:36:57 CEST 2025
User: adelavalleep
Spectrometer: JAZA0862
Trigger mode: 0
Integration Time (sec): 1.500000E-1
Scans to average: 3
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
190.574	-141.19
190.952	-141.19
191.329	-141.19
191.707	22.77
192.084	-31.12
192.462	-53.34
192.839	-460.59
193.216	133.79
193.594	125.74
193.971	45.94
194.348	1402.7
194.726	62.23
195.103	181.26
195.48	-172.93
195.857	178.52
196.234	-111.65
196.611	179.78
196.989	105.58
197.366	631.71
197.743	54.64
198.12	212.43
198.497	-3.62
198.873	287.17
199.25	306.81
199.627	-1364.86
200.004	21.45
200.381	-192.45
200.758	118.76
201.134	-2.77
201.511	-23.56
201.888	21.83
202.264	-117.28
202.641	-41.3
203.018	13.05
203.394	-12.52
203.771	48.02
204.147	-15.77
204.524	170.02
204.9	20.42
205.277	80.76
205.653	129.14
206.03	-1.56
206.406	-104.26
206.782	239.15
207.159	-72.12
207.535	38.23
207.911	57.64
208.287	-275.91
208.663	15.21
209.04	140.9
209.416	-16.68
209.792	12.92
210.168	161.33
210.544	-98.04
210.92	45.31
211.296	17.73
211.672	-3.05
212.048	0.35
212.423	-34.4
212.799	-38.38
213.175	82.2
213.551	14.97
213.927	-263.76
214.302	-36.61
214.678	8.92
215.054	13.5
215.429	-10.09
215.805	4.94
216.181	-2396.3
216.556	-122.15
216.932	-411.6
217.307	-55.69
217.683	443.25
218.058	3.03
218.434	-55.11
218.809	63.78
219.184	-68.54
219.56	15.85
219.935	-970.59
220.31	55.15
220.685	52.19
221.061	-26.2
221.436	149.62
221.811	36.22
222.186	107.51
222.561	-171.06
222.936	119.82
223.311	-0.84
223.686	-181.46
224.061	66.22
224.436	-234.3
224.811	-246.76
225.186	29.09
225.561	-325.74
225.935	33.33
226.31	-120.99
226.685	42.15
227.06	-3.98
227.434	58.97
227.809	-78.44
228.184	-19.6
228.558	-37.04
228.933	31.17
229.307	3.06
229.682	139.29
230.056	28.04
230.431	111.44
230.805	-32.05
231.18	238.46
231.554	227.27
231.928	43.84
232.303	57.04
232.677	-31.44
233.051	167.24
233.426	-214.85
233.8	-249.17
234.174	201.65
234.548	91.34
234.922	-337.56
235.296	16.8
235.67	-969.17
236.044	90.22
236.418	-183.17
236.792	-8500
237.166	-28.38
237.54	-60.64
237.914	-89.97
238.288	33.33
238.662	14.67
239.035	306.33
239.409	11.16
239.783	231.96
240.156	180.65
240.53	1288.24
240.904	-5.45
241.277	84.24
241.651	207.57
242.024	131.9
242.398	1750.85
242.771	-21.08
243.145	-196.25
243.518	70.56
243.892	8.33
244.265	-387.39
244.638	-82.05
245.012	58.85
245.385	586.79
245.758	110.46
246.131	-645.45
246.504	-66.57
246.878	-122.08
247.251	88.77
247.624	-66.72
247.997	79.6
248.37	293.16
248.743	60.22
249.116	-157.4
249.489	-31.83
249.862	21.22
250.234	-131.72
250.607	-257.4
250.98	20.38
251.353	50.7
251.726	-47.35
252.098	-27.15
252.471	70.73
252.844	-44.34
253.216	307.48
253.589	-30.08
253.961	15.1
254.334	-11.07
254.706	61.18
255.079	-181.23
255.451	33.98
255.824	246.38
256.196	37.65
256.569	-34.09
256.941	56.14
257.313	-1427.54
257.685	-746.15
258.058	259.04
258.43	-88.39
258.802	-562.88
259.174	35.44
259.546	55.63
259.918	-30.52
260.29	-56.64
260.662	-119.59
261.034	-100.95
261.406	-144.1
261.778	26.82
262.15	-32.98
262.522	-1142.74
262.894	29.13
263.266	74.45
263.637	-21.42
264.009	-142.35
264.381	40.66
264.752	57.35
265.124	41.52
265.496	-11.82
265.867	-152.01
266.239	-52.75
266.61	-18.94
266.982	38.32
267.353	0.66
267.725	45.41
268.096	-59.96
268.468	-29.57
268.839	34.39
269.21	23.33
269.581	165.77
269.953	-14.94
270.324	98.64
270.695	80.42
271.066	10.43
271.437	-8.14
271.808	6.57
272.18	-36.03
272.551	-18.77
272.922	-86.85
273.293	-47.7
273.663	25.39
274.034	-38.6
274.405	148.57
274.776	29.25
275.147	86.63
275.518	-53.01
275.888	19.97
276.259	-23.23
276.63	21.22
277.001	-88.62
277.371	12.33
277.742	21.06
278.112	32.82
278.483	41.62
278.853	57.96
279.224	-84.98
279.594	107.78
279.965	-4.55
280.335	0.92
280.705	29.76
281.076	25.26
281.446	-4309.52
281.816	107.86
282.186	-165.23
282.557	-120.47
282.927	-11.06
283.297	24.67
283.667	48.24
284.037	-11060
284.407	-12.1
284.777	-118.76
285.147	-142.78
285.517	-467.79
285.887	29.24
286.257	78.43
286.627	83.35
286.997	-285.44
287.366	51.1
287.736	60.51
288.106	95.46
288.475	77.29
288.845	-67.96
289.215	147.93
289.584	53.46
289.954	16.31
290.323	-60.36
290.693	-135.15
291.062	-127.76
291.432	-21.24
291.801	-478.52
292.171	-77.74
292.54	-46.27
292.909	-959.41
293.279	-59.12
293.648	-58.62
294.017	49.08
294.386	-3.36
294.755	120.16
295.125	-296.95
295.494	26.41
295.863	42.48
296.232	11.01
296.601	-579.21
296.97	30.81
297.339	-94.23
297.708	60.04
298.076	-98.57
298.445	119.29
298.814	61.72
299.183	-36.68
299.552	-37.45
299.92	61.79
300.289	42.47
300.658	10.09
301.026	-43.73
301.395	-24.98
301.763	42.09
302.132	57.24
302.5	-19.83
302.869	20.63
303.237	45.38
303.606	3.76
303.974	-117.44
304.342	-53.58
304.711	100.24
