# rho[-] J[A/m^2]
4.570000000000000173e-01 5.000000000000000000e+02
5.326666666666667327e-01 1.000000000000000000e+03
6.273333333333332984e-01 2.000000000000000000e+03
6.952500000000000346e-01 3.000000000000000000e+03
7.127499999999998836e-01 4.000000000000000000e+03
7.690000000000000169e-01 5.000000000000000000e+03
8.321428571428570731e-01 6.000000000000000000e+03
8.454999999999999183e-01 7.000000000000000000e+03
