# etch_rate[m/s] J[A/m^2]
3.845000000000000350e-08 5.000000000000000000e+02
7.004999999999999529e-08 1.000000000000000000e+03
1.185333333333333492e-07 2.000000000000000000e+03
1.610999999999999536e-07 3.000000000000000000e+03
2.133000000000000108e-07 4.000000000000000000e+03
2.509750000000000090e-07 5.000000000000000000e+03
2.983214285714285754e-07 6.000000000000000000e+03
3.406749999999999718e-07 7.000000000000000000e+03
