# rho[-] J[A/m^2]
3.300000000000000155e-01 2.000000000000000000e+01
4.000000000000000222e-01 1.000000000000000000e+02
5.100000000000000089e-01 2.000000000000000000e+02
5.799999999999999600e-01 5.000000000000000000e+02
6.300000000000000044e-01 7.500000000000000000e+02
6.600000000000000311e-01 1.000000000000000000e+03
7.349999999999999867e-01 1.500000000000000000e+03
8.150000000000000577e-01 2.000000000000000000e+03
8.900000000000000133e-01 3.000000000000000000e+03
