# etch_rate[m/s] J[A/m^2]
2.000000000000000125e-09 2.000000000000000000e+01
1.000000000000000021e-08 1.000000000000000000e+02
2.000000000000000042e-08 2.000000000000000000e+02
4.700000000000000396e-08 5.000000000000000000e+02
6.700000000000000438e-08 7.500000000000000000e+02
8.800000000000000714e-08 1.000000000000000000e+03
1.230000000000000029e-07 1.500000000000000000e+03
1.600000000000000033e-07 2.000000000000000000e+03
2.400000000000000315e-07 3.000000000000000000e+03
